FECHA,Symbol,rv5_ss,bv,rv10,bv_ss,rv5,rk_parzen,rk_th2,open_time,close_time,open_to_close,rsv_ss,rk_twoscale,rsv,close_price,rv10_ss,medrv,open_price,nobs,Retornos
2000-02-02,.N225,0.000159687,0.000113198,0.000175286,0.000113198,0.01597%,0.000125939,0.00012287,90101,150100,0.005746601,6.94E-05,0.000112359,6.94E-05,19634.84,0.000175286,5.02E-05,19522.33,275,
2000-02-03,.N225,6.90E-05,4.02E-05,7.79E-05,4.02E-05,0.00690%,0.000102701,5.84E-05,90100,150000,0.010743497,2.43E-05,5.09E-05,2.43E-05,19860.58,7.79E-05,1.57E-05,19648.35,274,0.011431323
2000-02-04,.N225,4.77E-05,4.49E-05,4.10E-05,4.49E-05,0.00477%,5.81E-05,5.54E-05,92900,150547,-0.011766682,3.55E-05,5.97E-05,3.55E-05,19763.13,4.10E-05,1.33E-05,19997.05,252,-0.004918782
2000-02-07,.N225,4.85E-05,3.88E-05,5.42E-05,3.88E-05,0.00485%,3.29E-05,3.64E-05,90102,150101,0.005499965,1.58E-05,3.45E-05,1.58E-05,19942.14,5.42E-05,5.00E-06,19832.76,275,0.009017
2000-02-08,.N225,5.55E-05,3.18E-05,6.56E-05,3.18E-05,0.00555%,2.12E-05,5.24E-05,90102,150101,-0.00474935,2.81E-05,5.21E-05,2.81E-05,19860.75,6.56E-05,6.27E-06,19955.3,275,-0.004089658
2000-02-09,.N225,5.13E-05,4.89E-05,7.32E-05,4.89E-05,0.00513%,1.74E-05,3.63E-05,90102,150101,0.003385563,1.82E-05,3.44E-05,1.82E-05,19998,7.32E-05,1.36E-05,19930.41,275,0.006886846
2000-02-10,.N225,6.05E-05,6.06E-05,6.38E-05,6.06E-05,0.00605%,2.16E-05,4.29E-05,90102,150100,-0.008607638,4.15E-05,4.06E-05,4.15E-05,19744.84,6.38E-05,2.01E-05,19915.53,275,-0.012740077
2000-02-14,.N225,7.99E-05,6.19E-05,7.82E-05,6.19E-05,0.00799%,4.64E-05,7.41E-05,90401,150301,-0.004110643,5.02E-05,7.14E-05,5.02E-05,19562.51,7.82E-05,2.59E-05,19643.09,274,-0.009277212
2000-02-15,.N225,9.99E-05,9.52E-05,8.86E-05,9.52E-05,0.00999%,7.20E-05,8.56E-05,90102,150101,-0.011995911,6.03E-05,8.77E-05,6.03E-05,19354.25,8.86E-05,4.77E-05,19587.82,275,-0.010702946
2000-02-16,.N225,9.66E-05,0.000102783,0.000107489,0.000102783,0.00966%,7.51E-05,9.21E-05,90103,150100,0.008612265,3.76E-05,8.58E-05,3.76E-05,19586.52,0.000107489,3.44E-05,19418.56,275,0.011929541
2000-02-17,.N225,0.000125128,0.000130811,0.000157809,0.000130811,0.01251%,5.02E-05,0.000125276,90102,150100,0.007947418,3.56E-05,0.000106727,3.56E-05,19803.13,0.000157809,3.13E-05,19646.37,276,0.010998431
2000-02-18,.N225,7.17E-05,6.49E-05,7.53E-05,6.49E-05,0.00717%,6.79E-05,7.27E-05,90102,150100,-0.003614693,3.86E-05,6.78E-05,3.86E-05,19780.55,7.53E-05,2.17E-05,19852.18,275,-0.001140874
2000-02-21,.N225,7.84E-05,8.01E-05,8.76E-05,8.01E-05,0.00784%,2.72E-05,6.44E-05,90102,150100,-0.008242672,4.71E-05,5.80E-05,4.71E-05,19574.14,8.76E-05,2.04E-05,19736.15,275,-0.010489824
2000-02-22,.N225,0.00010085,9.16E-05,8.79E-05,9.16E-05,0.01008%,0.000129393,0.000108774,90101,150101,-0.006703534,5.27E-05,0.000107774,5.27E-05,19422.98,8.79E-05,4.48E-05,19553.62,276,-0.007752406
2000-02-23,.N225,7.16E-05,5.27E-05,8.17E-05,5.27E-05,0.00716%,3.76E-05,7.17E-05,90101,150100,0.004166896,2.33E-05,6.99E-05,2.33E-05,19520.34,8.17E-05,1.51E-05,19439.17,276,0.005000098
2000-02-24,.N225,3.52E-05,1.94E-05,3.66E-05,1.94E-05,0.00352%,2.61E-05,3.99E-05,90101,150100,-0.001284454,1.75E-05,4.10E-05,1.75E-05,19591.08,3.66E-05,5.50E-06,19616.26,275,0.003617362
2000-02-25,.N225,6.34E-05,6.06E-05,4.06E-05,6.06E-05,0.00634%,5.12E-05,5.63E-05,90100,150059,0.009439908,2.64E-05,5.52E-05,2.64E-05,19809.5,4.06E-05,2.06E-05,19623.38,276,0.01108726
2000-02-28,.N225,0.000108848,0.000116663,0.000103922,0.000116663,0.01088%,6.34E-05,8.98E-05,92301,150535,-3.50E-05,6.34E-05,9.07E-05,6.34E-05,19720.1,0.000103922,3.43E-05,19720.79,258,-0.0045232
2000-02-29,.N225,0.000103824,8.11E-05,0.000122836,8.11E-05,0.01038%,5.04E-05,9.47E-05,90102,150001,0.006534778,4.80E-05,8.99E-05,4.80E-05,19891.08,0.000122836,2.53E-05,19761.52,273,0.00863297
2000-03-01,.N225,6.12E-05,5.25E-05,8.55E-05,5.25E-05,0.00612%,3.08E-05,4.91E-05,90102,150101,0.003528949,2.06E-05,4.46E-05,2.06E-05,20100.89,8.55E-05,1.70E-05,20030.08,275,0.010492703
2000-03-02,.N225,8.88E-05,9.11E-05,0.000121732,9.11E-05,0.00888%,0.00010936,8.97E-05,90100,150100,-0.000465836,4.05E-05,7.43E-05,4.05E-05,20088.23,0.000121732,2.67E-05,20097.59,275,-0.000630021
2000-03-03,.N225,5.38E-05,4.05E-05,6.13E-05,4.05E-05,0.00538%,2.16E-05,5.17E-05,90101,150100,-0.005012281,2.86E-05,4.92E-05,2.86E-05,19922.93,6.13E-05,2.28E-05,20023.04,276,-0.008262742
