DATE,Symbol,close_price,Retornos,Retornos_2,Weights,EWMA,
3/10/2005,.OMXHPI,7919.64,,,,0,
4/10/2005,.OMXHPI,7912.11,-0.000951253,0,0.05,0,
5/10/2005,.OMXHPI,7836.75,-0.00957029,0,0.05,0,
6/10/2005,.OMXHPI,7702.8,-0.017240308,0,0.05,0,
7/10/2005,.OMXHPI,7697.93,-0.000632438,0,0.04,0,
10/10/2005,.OMXHPI,7727.06,0.003776992,0,0.04,0,
11/10/2005,.OMXHPI,7768.28,0.005320322,0,0.04,0,
12/10/2005,.OMXHPI,7734.26,-0.004388965,0,0.04,0,
13/10/2005,.OMXHPI,7604.59,-0.016907798,0,0.03,0,
14/10/2005,.OMXHPI,7557.29,-0.006239352,0,0.03,0,
17/10/2005,.OMXHPI,7608.61,0.00676784,0,0.03,0,
18/10/2005,.OMXHPI,7584.51,-0.003172491,0,0.03,0,
19/10/2005,.OMXHPI,7446.18,-0.01840686,0,0.03,0,
20/10/2005,.OMXHPI,7315.3,-0.017733104,0,0.03,0,
21/10/2005,.OMXHPI,7255.28,-0.008238566,0,0.03,0,
24/10/2005,.OMXHPI,7344.85,0.012269908,0,0.02,0,
25/10/2005,.OMXHPI,7375.31,0.004138548,0,0.02,0,
26/10/2005,.OMXHPI,7389.45,0.001915372,0,0.02,0,
27/10/2005,.OMXHPI,7322.38,-0.009117896,0,0.02,0,
28/10/2005,.OMXHPI,7318.81,-0.000487665,0,0.02,0,
31/10/2005,.OMXHPI,7482.55,0.022125897,0,0.02,0,
1/11/2005,.OMXHPI,7583.6,0.013414378,0,0.02,0,
2/11/2005,.OMXHPI,7547.1,-0.004824637,0,0.02,0,
3/11/2005,.OMXHPI,7649.38,0.013461215,0,0.02,0,
4/11/2005,.OMXHPI,7705.13,0.007261742,0,0.02,0,
7/11/2005,.OMXHPI,7666.42,-0.005036588,0,0.01,0,
8/11/2005,.OMXHPI,7663.64,-0.000362686,0,0.01,0,
9/11/2005,.OMXHPI,7700.02,0.00473586,0,0.01,0,
10/11/2005,.OMXHPI,7684.91,-0.00196426,0,0.01,0,
11/11/2005,.OMXHPI,7743.44,0.007587368,0,0.01,0,
14/11/2005,.OMXHPI,7779.74,0.004676885,0,0.01,0,
15/11/2005,.OMXHPI,7698.38,-0.010513001,0,0.01,0,
16/11/2005,.OMXHPI,7658.73,-0.005163743,0,0.01,0,
17/11/2005,.OMXHPI,7711.83,0.00690934,0,0.01,0,
18/11/2005,.OMXHPI,7723,0.001447376,0,0.01,0,
21/11/2005,.OMXHPI,7725.88,0.000372843,0,0.01,0,
22/11/2005,.OMXHPI,7754.13,0.003649872,0,0.01,0,
23/11/2005,.OMXHPI,7805.97,0.006663221,0,0.01,0,
24/11/2005,.OMXHPI,7776.9,-0.003731024,0,0.01,0,
25/11/2005,.OMXHPI,7852.87,0.009721269,0,0.01,0,
28/11/2005,.OMXHPI,7798.36,-0.006965615,0,0.01,0,
29/11/2005,.OMXHPI,7750.73,-0.006126423,0,0.01,0,
30/11/2005,.OMXHPI,7748.34,-0.000308406,0,0.01,0,
1/12/2005,.OMXHPI,7802.8,0.007004017,0,0.01,0,
2/12/2005,.OMXHPI,7914.61,0.014227775,0,0.01,0,
5/12/2005,.OMXHPI,7927.14,0.001581896,0,0.01,0,
7/12/2005,.OMXHPI,8062.38,0.016916483,0,0,0,
8/12/2005,.OMXHPI,8063.36,0.000121545,0,0,0,
9/12/2005,.OMXHPI,8046.34,-0.002113013,0,0,0,
12/12/2005,.OMXHPI,8085.69,0.004878503,0,0,0,
13/12/2005,.OMXHPI,8053.32,-0.004011404,0,0,0,
14/12/2005,.OMXHPI,8089.05,0.004426866,0,0,0,
15/12/2005,.OMXHPI,8053.05,-0.004460394,0,0,0,
16/12/2005,.OMXHPI,8122.99,0.008647411,0,0,0,
19/12/2005,.OMXHPI,8125.39,0.000295414,0,0,0,
20/12/2005,.OMXHPI,8081.11,-0.005464488,0,0,0,
21/12/2005,.OMXHPI,8139.38,0.007184771,0,0,0,
