VALOR,UNIDAD,VIGENCIADESDE,VIGENCIAHASTA
643.42,COP,2/12/1991,2/12/1991
639.22,COP,3/12/1991,3/12/1991
635.7,COP,4/12/1991,4/12/1991
631.51,COP,5/12/1991,5/12/1991
627.16,COP,6/12/1991,6/12/1991
638.06,COP,7/12/1991,9/12/1991
622.92,COP,10/12/1991,10/12/1991
627.46,COP,11/12/1991,11/12/1991
633.09,COP,12/12/1991,12/12/1991
632.37,COP,1/1/1992,1/1/1992
640.52,COP,1/2/1992,3/2/1992
641.98,COP,1/4/1992,1/4/1992
653.58,COP,1/5/1992,4/5/1992
695.36,COP,1/7/1992,1/7/1992
702.52,COP,1/8/1992,3/8/1992
691.9,COP,1/9/1992,1/9/1992
699.7,COP,1/10/1992,1/10/1992
729.42,COP,1/12/1992,1/12/1992
638.61,COP,2/1/1992,2/1/1992
645.14,COP,2/4/1992,2/4/1992
694.43,COP,2/7/1992,2/7/1992
692.89,COP,2/9/1992,2/9/1992
703.08,COP,2/10/1992,2/10/1992
725.75,COP,2/12/1992,2/12/1992
632.58,COP,3/1/1992,3/1/1992
640.95,COP,3/3/1992,3/3/1992
644.77,COP,3/4/1992,3/4/1992
666.11,COP,3/6/1992,3/6/1992
693.71,COP,3/7/1992,3/7/1992
693.02,COP,3/9/1992,3/9/1992
710.22,COP,3/10/1992,5/10/1992
729.74,COP,3/12/1992,3/12/1992
638.07,COP,4/1/1992,7/1/1992
640.52,COP,4/2/1992,4/2/1992
636.05,COP,4/3/1992,4/3/1992
643.11,COP,4/4/1992,6/4/1992
664.3,COP,4/6/1992,4/6/1992
693.4,COP,4/7/1992,6/7/1992
701.82,COP,4/8/1992,4/8/1992
695.62,COP,4/9/1992,4/9/1992
718.98,COP,4/11/1992,4/11/1992
738.19,COP,4/12/1992,4/12/1992
638.01,COP,5/2/1992,5/2/1992
635.86,COP,5/3/1992,5/3/1992
653.1,COP,5/5/1992,5/5/1992
666.47,COP,5/6/1992,5/6/1992
698.84,COP,5/8/1992,5/8/1992
696.77,COP,5/9/1992,7/9/1992
719.21,COP,5/11/1992,5/11/1992
736.29,COP,5/12/1992,7/12/1992
637.65,COP,6/2/1992,6/2/1992
636.73,COP,6/3/1992,6/3/1992
653.7,COP,6/5/1992,6/5/1992
664.36,COP,6/6/1992,8/6/1992
695.32,COP,6/8/1992,6/8/1992
704.52,COP,6/10/1992,6/10/1992
720.96,COP,6/11/1992,6/11/1992
636.9,COP,7/2/1992,7/2/1992
636.22,COP,7/3/1992,9/3/1992
645.73,COP,7/4/1992,7/4/1992
654.74,COP,7/5/1992,7/5/1992
696.12,COP,7/7/1992,7/7/1992
694.25,COP,7/8/1992,10/8/1992
703.66,COP,7/10/1992,7/10/1992
722.57,COP,7/11/1992,9/11/1992
638.17,COP,8/1/1992,8/1/1992
635.34,COP,8/2/1992,10/2/1992
643.98,COP,8/4/1992,8/4/1992
656.4,COP,8/5/1992,8/5/1992
695.65,COP,8/7/1992,8/7/1992
697.69,COP,8/9/1992,8/9/1992
702.71,COP,8/10/1992,8/10/1992
732.11,COP,8/12/1992,9/12/1992
638.61,COP,9/1/1992,9/1/1992
644.61,COP,9/4/1992,9/4/1992
657.91,COP,9/5/1992,11/5/1992
665.91,COP,9/6/1992,9/6/1992
699.01,COP,9/7/1992,9/7/1992
698.28,COP,9/9/1992,9/9/1992
704.06,COP,9/10/1992,9/10/1992
637.86,COP,10/1/1992,10/1/1992
635.88,COP,10/3/1992,10/3/1992
646.5,COP,10/4/1992,10/4/1992
665.92,COP,10/6/1992,10/6/1992
703.74,COP,10/7/1992,10/7/1992
695.38,COP,10/9/1992,10/9/1992
701.88,COP,10/10/1992,13/10/1992
720.48,COP,10/11/1992,10/11/1992
732.4,COP,10/12/1992,10/12/1992
645.04,COP,11/1/1992,13/01/1992
634.74,COP,11/2/1992,11/2/1992
639.78,COP,11/3/1992,11/3/1992
647.28,COP,11/4/1992,13/04/1992
667.96,COP,11/6/1992,11/6/1992
708.72,COP,11/7/1992,13/07/1992
