Ind,cod. pais,eci,cod. org,ms,sci_rank
1,NOR,0.987267222,Norwegian University of Science and Technology,"As a university, NTNU has a responsibilityÿfor basic research and for educating outstanding graduates. We offer research based education at all levels. We develop and disseminate knowledge and manage expertise about nature, people, society and technology. NTNU promotes and disseminates cultural values, and contributes to innovation in society, business and public administration.",NA
2,CHN,0.733615715,Jiangnan University,Demonstrate our distinguished features in light industry to serve the people. Innovate our cultivating pattern to form backbone of the industry.,255
3,POL,1.015288659,Polish Academy of Sciences,"Pursuing advanced research at its scientific units, of strategic importance for the development of science and the economy.Organizing large, frequently interdisciplinary research teams, involving the concentration of modern research hardware. Integrating Poland?s research community in close cooperation with universities and research units.  Supporting various forms of international research cooperation. Educating young scholars in doctoral and postgraduate programs and supporting those just starting out on a career in research. Putting the results of scientific research to innovative use, including via cooperation with the business community. Formulating opinions and producing expert studies on science and policy issues of fundamental importance. Promoting greater public awareness of science.",332
4,JPN,2.401286218,University of Shiga Prefecture,"The University of Shiga Prefecture was established in 1995 HIROKAWA  with the theme of Rooted in the region, studying the region, contributing to the region and the motto, Our campus is Lake Biwa and our text is Humanity. The campus is located on the eastern shore of Lake Biwa, in Hikone City, making a perfect fit into a magnificent landscape with the background of Mt. Ibuki to the north, the Suzuka mountains to the east, and the Hira mountains across the lake to the west. Surrounded by beautiful nature, the campus is traversed by moats and streams whose waters connect with Lake Biwa. Inside the main circular moat are the school symbol Pencil Tower, the library, a cafeteria, lecture rooms, and administration offices. Outside the moat are the four main schools of the university (with thirteen departments) and four graduate schools (with nine divisions). About 2,800 undergraduates study general education courses along with school and department specific courses. The common idea for all studies is To learn how to live in nature with harmony. Students can learn not only on campus, but also from Lake Biwa and the region around it, which is traditionally known as Ohmi. To study and experience the Ohmi region, USP instituted Ohmi Gakushi (Ohmi Bachelor) as an undergraduate course in the Department of Regional Studies and Ohmi Kanjin, (Ohmi sub major) as a graduate course in the Division of Regional Studies. Students learn basic knowledge of cultural activities in Ohmi Gakushi and participate in practical aspects in Ohmi Kanjin. In an extracurricular activity called Ohmi Rakuza, approximately 400 to 500 students every year volunteer to work in regional communities to resolve local problems. We provide education, research and regional contribution based on the theme Rooted in the region, studying the region, contributing to the region. Furthermore, we put effort into providing short and long term study abroad for students to become more international and to have broader points of view. I have high hopes and confidence that all our students will take the initiative in their studies and related experiences to further their personal growth.",685
5,PRT,0.5350344,Universidade Lusofona de Humanidades e Tecnologias,"At the Universidade Lus¢fona, we believe our school and its courses have many relevant aspects that invite all those who are currently facing these choices, to choose to study at the Universidade Lus¢fona.",664
6,CHE,2.136830615,"Novartis, Switzerland","We believe Novartis is well prepared for a world with a growing, aging population and continuously evolving healthcare needs. We have a clear mission, focused strategy and strong culture, all of which we expect will support the creation of value over the long term for our company, our shareholders and society. Our strategy is to use science based innovation to deliver better patient outcomes in growing areas of healthcare.",227
7,BIH,0.425450343,University of Sarajevo,"Our basic mission and vision is to put the young man in the focus of learning and research that will enable him in the future to be competent to answer all the human and academic challenges ahead of him. The success of our students in their lives is a measure and our success, therefore we are constantly advocating for the improvement and development of study conditions that do not lag behind the top European principles of acquiring knowledge.",703
8,USA,1.687701277,University of Rochester,"Learn, Discover, Heal, Create and Make the World Ever Better.",211
9,USA,1.687701277,Southern Connecticut State University,SCSU's Master of Library and Information Science provides a student centered program combining excellent teaching leadership and scholarship for students in Connecticut and beyond We prepare knowledgeable and ethical library and information professionals for ever expanding opportunities in a diverse and global information society.,696
10,AUS,0.00759991,Women's and Children's Hospital,"We are the leading provider of specialist care for children with acute and chronic conditions in South Australia, as well as the State's largest maternity and obstetric service. We also provide important community based services.",594
